Exchange,Base,Quote,Time,Open,High,Low,Close,Quote Volume,Base Volume
KRAKEN,BTC,USD,2022-12-22 20:00,16659.7,16662.9,16643.1,16659.6,1088698.762,65.37956072
KRAKEN,BTC,USD,2022-12-22 20:15,16659.6,16833,16656,16785.5,1522069.986,90.78580736
KRAKEN,BTC,USD,2022-12-22 20:30,16785.5,16804.9,16750,16758.6,1142477.957,68.10980582
KRAKEN,BTC,USD,2022-12-22 20:45,16758.7,16793.7,16758.7,16780.5,151217.6266,9.00991862
KRAKEN,BTC,USD,2022-12-22 21:00,16780.4,16802.6,16771,16788.8,392685.7988,23.40619401
KRAKEN,BTC,USD,2022-12-22 21:15,16788.8,16815.5,16788.7,16814,229380.8137,13.64950484
KRAKEN,BTC,USD,2022-12-22 21:30,16814.1,16819.4,16789.8,16798.7,394620.0663,23.47977953
KRAKEN,BTC,USD,2022-12-22 21:45,16798.7,16798.7,16790.4,16793.7,276338.4275,16.45443654
KRAKEN,BTC,USD,2022-12-22 22:00,16794.1,16833,16794,16827.8,256175.3622,15.23663956
KRAKEN,BTC,USD,2022-12-22 22:15,16827.7,16833,16800.1,16802.4,184885.2701,10.98985542
KRAKEN,BTC,USD,2022-12-22 22:30,16802.3,16812.4,16792,16792,116788.7036,6.95038505
KRAKEN,BTC,USD,2022-12-22 22:45,16792,16801.3,16783.5,16801.3,105044.042,6.25569011
KRAKEN,BTC,USD,2022-12-22 23:00,16801.2,16819.9,16796.2,16810.3,156009.276,9.28252099
KRAKEN,BTC,USD,2022-12-22 23:15,16810,16813.7,16810,16810.1,67723.46973,4.02833708
KRAKEN,BTC,USD,2022-12-22 23:30,16810,16822.4,16801.4,16817.2,124426.4676,7.40055354
KRAKEN,BTC,USD,2022-12-22 23:45,16817.2,16820.2,16812.2,16816.8,129034.5642,7.67265522
KRAKEN,BTC,USD,2022-12-23 00:00,16816.8,16822.9,16791.7,16796.4,121532.2273,7.23047541
KRAKEN,BTC,USD,2022-12-23 00:15,16793.4,16798.4,16786.5,16793.2,336792.2959,20.05156896
KRAKEN,BTC,USD,2022-12-23 00:30,16792.9,16797.2,16783.5,16785,67916.89217,4.04386881
KRAKEN,BTC,USD,2022-12-23 00:45,16785,16786.2,16770.7,16776.9,1029678.758,61.36908714
KRAKEN,BTC,USD,2022-12-23 01:00,16776.9,16786.6,16773.2,16785.9,98249.42246,5.85540562
KRAKEN,BTC,USD,2022-12-23 01:15,16785.8,16797.2,16784.7,16797.1,85366.31136,5.08462704
KRAKEN,BTC,USD,2022-12-23 01:30,16797.1,16797.2,16788.9,16794.4,45775.92347,2.72538082
KRAKEN,BTC,USD,2022-12-23 01:45,16795,16797.2,16789.3,16795,112725.5233,6.71168114
KRAKEN,BTC,USD,2022-12-23 02:00,16795.1,16796.7,16782.3,16784,691348.6686,41.1822716
KRAKEN,BTC,USD,2022-12-23 02:15,16784.8,16794.9,16776.2,16794.9,426235.5618,25.40066999
KRAKEN,BTC,USD,2022-12-23 02:30,16795,16795,16789.7,16794.9,303322.0069,18.06118067
KRAKEN,BTC,USD,2022-12-23 02:45,16795,16860,16794.9,16845.2,1927298.911,114.6718268
KRAKEN,BTC,USD,2022-12-23 03:00,16849.7,16886.7,16847.9,16869.8,358536.3037,21.25419804
KRAKEN,BTC,USD,2022-12-23 03:15,16875.4,16875.4,16852.1,16852.1,39888.22753,2.36566213
KRAKEN,BTC,USD,2022-12-23 03:30,16852.2,16852.2,16830.4,16835.2,39565.9229,2.34924566
KRAKEN,BTC,USD,2022-12-23 03:45,16835.3,16840.2,16822.3,16829.2,84345.7619,5.01087308
KRAKEN,BTC,USD,2022-12-23 04:00,16828.6,16829.6,16825.6,16825.6,222311.8768,13.21240643
KRAKEN,BTC,USD,2022-12-23 04:15,16825.7,16825.7,16813.2,16820.9,281031.0733,16.70517981
KRAKEN,BTC,USD,2022-12-23 04:30,16820.9,16825.4,16820.9,16825.3,37494.92884,2.22859246
KRAKEN,BTC,USD,2022-12-23 04:45,16825.3,16838.4,16817.9,16837.6,63658.73695,3.78296093
